DYNAR_COD;CATEGORIA;BITOLA;PARKER_EQUIV;GATES_EQUIV;SITUACAO
0045-11;DIAFRAGMA;;;;Analise Tecnica
03 0638 02;VALVULA;;;;Analise Tecnica
03 8602 02;REPARO;;;;Analise Tecnica
0493-57;EMBOLO;;;;Analise Tecnica
0501-50;TOMADA;;;;Analise Tecnica
0773-03;DRENO;;;;Analise Tecnica
0613-03;MOLA;;;;Analise Tecnica
0615-01;ANEL;;;;Analise Tecnica
06-311/L12-K;ANEL;;;;Analise Tecnica
06-311/L18-K;ANEL;;;;Analise Tecnica
06-311/L22-K;ANEL;;;;Analise Tecnica
06-311/L35-K;ANEL;;;;Analise Tecnica
06-311/L42-K;ANEL;;;;Analise Tecnica
06-311/L6-K;ANEL;;;;Analise Tecnica
0697-52;KIT;;;;Analise Tecnica
100-012-F-60;BOBINA;;;;Analise Tecnica
100-024-F-60;BOBINA;;;;Analise Tecnica
5228-57;DIAFRAG;;;;Analise Tecnica
5229-50;COP0;;;;Analise Tecnica
5250-3006;CONEXAO;;;;Analise Tecnica
3654-01;REPARO;;;;Analise Tecnica
3774-55;INSERTO;;;;Analise Tecnica
3776-51;COPO;;;;Analise Tecnica
5291-01;MOLA;;;;Analise Tecnica
5298-14;REPARO;;;;Analise Tecnica
5302-02;MOLA;;;;Analise Tecnica
3795-03B;REPARO;;;;Analise Tecnica
3809-50;COPO;;;;Analise Tecnica
5304-01;REPARO;;;;Analise Tecnica
5304-05;KIT;;;;Analise Tecnica
5304-06;REPARO;;;;Analise Tecnica
3820-02;REPARO;;;;Analise Tecnica
3820-02B;REP;;;;Analise Tecnica
5313-89;VENEZIANA;;;;Analise Tecnica
5316-50;CHICANA;;;;Analise Tecnica
5324-01;REPARO;;;;Analise Tecnica
2273-13;VISOR;;;;Analise Tecnica
3D082-6-4;CONEXAO;;;;Analise Tecnica
5324-02;REPARO;;;;Analise Tecnica
61232;ALONG;;;;Analise Tecnica
6335-31;MANOMETRO;;;;Analise Tecnica
2273-15;VISOR;;;;Analise Tecnica
2273-20;REPARO;;;;Analise Tecnica
4141-10;ELEMENTO;;;;Analise Tecnica
4303-51;COPO;;;;Analise Tecnica
5514-02;SUPORTE;;;;Analise Tecnica
5532-04;SUPORTE;;;;Analise Tecnica
4313-50;SUPORTE;;;;Analise Tecnica
4338-04;ELEMENTO;;;;Analise Tecnica
4411-4S;CONEXAO;;;;Analise Tecnica
5939-06;SUPORTE;;;;Analise Tecnica
5945-40;REPARO;;;;Analise Tecnica
6 TZ-SS;CONEXAO;;;;Analise Tecnica
4424-50;SUPORTE;;;;Analise Tecnica
6335-32;MANOMETRO;;;;Analise Tecnica
6335-34;MANOMETRO;;;;Analise Tecnica
5550-06;REPARO;;;;Analise Tecnica
5550-07;REPARO;;;;Analise Tecnica
5570-04;SUPORTE;;;;Analise Tecnica
302-16-16-SF;CONEXAO;;;;Analise Tecnica
310C 1/4;VALVULA;;;;Analise Tecnica
6501E-4S;ENGATE;;;;Analise Tecnica
6801E-8S;ENGATE;;;;Analise Tecnica
