COD_LEGADO;PDF_RESOLVIDO
AAAF 6X1/2 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 6X1/2 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 6X1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 1/2X1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 16X1 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 16X1 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 16X1.1/16 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 25X1.1/16 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 25X1.5/16 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 25X1/2 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 6X1/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 6X1/8 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 6X1/8 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 10X1/2 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 10X1/2 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 10X1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 16X1/2 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 16X1/2 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 16X1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 25X1/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 25X3/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 25X3/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 6X3/8 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 6X3/8 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 6X7/16 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 10X1/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 10X1/8 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 10X3/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 16X1/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 16X3/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 16X3/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 25XM33X2;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 28X1 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 28X1 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 6XM10X1;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 6XM12X1.5;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 8X1/2 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 10X3/4 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 10X3/8 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 10X3/8 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 16X3/4 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 16X3/8 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 16X3/8 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
